SpatialDimensionValueCode,TimeDim,NumericValue
COG,2017,6.57299
COG,2018,6.61644
COG,2019,7.05151
COG,2020,6.55757
COG,2021,6.7126
COL,2000,5.1185
COL,2001,5.02459
COL,2002,4.72015
COL,2003,4.63194
COL,2004,4.56627
COL,2005,4.22417
COL,2006,4.24292
COL,2007,4.1761
COL,2008,4.22404
COL,2009,4.09505
COL,2010,3.89283
COL,2011,3.74925
COL,2012,3.81836
COL,2013,3.72119
COL,2014,3.79913
COL,2015,4.1312
COL,2016,4.30647
COL,2017,4.6226
COL,2018,5.03076
COL,2019,5.10852
COL,2020,4.81499
COL,2021,4.96183
COM,2000,6.88526
COM,2001,6.70412
COM,2002,6.50053
COM,2003,6.18856
COM,2004,6.13142
COM,2005,5.88422
COM,2006,5.96602
COM,2007,5.85995
COM,2008,5.98458
COM,2009,5.78481
COM,2010,6.34741
COM,2011,5.99174
COM,2012,6.1397
COM,2013,6.13728
COM,2014,6.41728
COM,2015,6.3745
COM,2016,6.39468
COM,2017,6.27122
COM,2018,6.24889
COM,2019,6.17941
COM,2020,6.20777
COM,2021,5.9983
CPV,2000,12.24005
CPV,2001,12.25566
CPV,2002,12.45635
CPV,2003,12.49133
CPV,2004,12.58231
CPV,2005,13.39105
CPV,2006,13.09577
CPV,2007,13.39163
CPV,2008,13.78902
CPV,2009,14.20845
CPV,2010,14.5957
CPV,2011,14.69084
CPV,2012,14.90113
CPV,2013,15.16346
CPV,2014,15.0981
CPV,2015,15.03121
CPV,2016,14.7188
CPV,2017,14.80315
CPV,2018,14.45384
CPV,2019,14.56408
CPV,2020,13.68752
CPV,2021,14.89953
CRI,2000,5.96664
CRI,2001,4.85734
CRI,2002,6.5299
CRI,2003,7.35533
CRI,2004,7.62569
CRI,2005,6.22886
CRI,2006,7.94791
CRI,2007,5.49687
CRI,2008,5.35632
CRI,2009,5.51308
CRI,2010,6.51661
CRI,2011,6.52225
CRI,2012,6.22302
CRI,2013,6.40485
CRI,2014,5.35708
CRI,2015,6.37212
CRI,2016,6.82578
CRI,2017,5.57746
CRI,2018,7.52575
CRI,2019,7.05556
CRI,2020,6.36211
CRI,2021,8.06209
CUB,2000,17.27067
CUB,2001,15.29657
CUB,2002,14.74646
CUB,2003,13.8135
CUB,2004,13.95721
CUB,2005,12.99461
CUB,2006,12.74371
CUB,2007,12.20633
CUB,2008,12.85188
CUB,2009,13.69175
CUB,2010,14.36125
CUB,2011,14.05083
CUB,2012,13.74272
CUB,2013,13.91141
CUB,2014,13.42389
CUB,2015,14.08077
CUB,2016,13.3864
CUB,2017,14.60222
CUB,2018,14.07864
CUB,2019,13.78525
CUB,2020,14.6127
CUB,2021,13.79297
CYP,2000,1.92492
CYP,2001,1.99216
CYP,2002,2.0621
CYP,2003,2.08412
CYP,2004,0.89168
CYP,2005,2.35992
CYP,2006,3.31114
CYP,2007,3.02343
CYP,2008,5.98115
CYP,2009,4.48803
CYP,2010,5.21246
CYP,2011,4.37319
CYP,2012,5.73526
CYP,2013,6.01158
CYP,2014,5.70003
CYP,2015,4.94825
CYP,2016,5.06436
CYP,2017,4.40648
CYP,2018,5.56308
CYP,2019,4.49963
CYP,2020,3.86485
CYP,2021,3.02316
CZE,2000,16.33129
CZE,2001,16.1834
CZE,2002,15.36888
CZE,2003,17.08558
CZE,2004,16.44484
CZE,2005,15.88425
CZE,2006,14.56391
CZE,2007,14.26369
CZE,2008,14.24037
CZE,2009,15.00882
CZE,2010,15.09947
CZE,2011,16.09259
CZE,2012,16.69981
CZE,2013,15.65171
CZE,2014,14.82154
CZE,2015,13.53684
CZE,2016,13.03289
CZE,2017,13.91021
CZE,2018,13.58777
CZE,2019,12.22676
CZE,2020,12.72753
CZE,2021,13.3261
DEU,2000,14.42063
DEU,2001,14.46762
DEU,2002,14.5597
DEU,2003,14.36668
DEU,2004,13.98991
DEU,2005,13.28291
DEU,2006,12.78166
DEU,2007,12.37956
DEU,2008,12.51751
DEU,2009,12.73967
DEU,2010,13.23492
DEU,2011,13.24051
DEU,2012,12.91978
DEU,2013,13.4792
DEU,2014,13.43862
DEU,2015,13.30158
DEU,2016,12.98511
DEU,2017,12.53278
DEU,2018,12.81935
DEU,2019,12.48549
DEU,2020,12.86718
DEU,2021,12.90286
DJI,2000,5.2827
DJI,2001,5.53074
DJI,2002,5.98745
DJI,2003,6.42788
DJI,2004,6.58411
DJI,2005,6.43302
DJI,2006,6.21098
DJI,2007,6.44785
DJI,2008,5.97821
DJI,2009,6.37678
DJI,2010,6.31128
DJI,2011,6.50062
DJI,2012,6.75974
DJI,2013,6.95293
DJI,2014,7.5928
DJI,2015,7.46982
DJI,2016,7.85839
DJI,2017,8.09011
DJI,2018,8.21103
DJI,2019,8.02438
DJI,2020,7.88643
DJI,2021,7.96391
DNK,2000,15.54266
DNK,2001,15.77997
DNK,2002,14.96765
DNK,2003,13.6841
DNK,2004,14.37172
DNK,2005,14.70183
DNK,2006,14.67629
DNK,2007,12.73878
DNK,2008,13.05614
DNK,2009,12.71011
DNK,2010,11.69273
DNK,2011,12.43442
DNK,2012,12.84222
DNK,2013,12.06392
DNK,2014,11.96759
DNK,2015,11.02614
DNK,2016,10.81534
DNK,2017,11.17538
DNK,2018,11.20116
DNK,2019,11.41673
DNK,2020,10.89756
DNK,2021,10.45853
DOM,2000,4.13842
DOM,2001,3.988
DOM,2002,3.8925
DOM,2003,3.93223
DOM,2004,4.09626
DOM,2005,4.33779
DOM,2006,4.26687
DOM,2007,4.20929
DOM,2008,4.2389
DOM,2009,4.26762
DOM,2010,4.18051
DOM,2011,4.23988
DOM,2012,4.91477
DOM,2013,5.29863
DOM,2014,6.17769
DOM,2015,6.43386
DOM,2016,6.30167
DOM,2017,6.69561
DOM,2018,6.22488
DOM,2019,5.82971
DOM,2020,4.18059
DOM,2021,4.19752
DZA,2000,4.18385
DZA,2001,3.96391
DZA,2002,3.90528
DZA,2003,3.61819
DZA,2004,3.42989
DZA,2005,3.32939
DZA,2006,3.18608
DZA,2007,3.04119
DZA,2008,2.89893
DZA,2009,2.73738
DZA,2010,2.61397
DZA,2011,2.54403
DZA,2012,2.36058
