SpatialDimensionValueCode,TimeDim,NumericValue
DZA,2015,2.16641
MAR,2021,2.91303
EMR,2019,3.85842
EGY,2005,0.93826
CHL,2018,9.52065
BHS,2011,3.80774
MAR,2020,2.90119
PRT,2006,11.39157
MKD,2010,5.67794
BIH,2016,10.52472
NPL,2005,9.52778
CZE,2015,13.53684
EST,2011,17.58982
CZE,2021,13.3261
COM,2019,6.17941
HRV,2000,20.48619
NGA,2009,5.20091
VEN,2013,5.90103
TKM,2007,10.42422
MYS,2020,4.2624
MDG,2008,5.98241
GMB,2005,4.85004
MEX,2015,5.61447
BRA,2006,4.97019
SUR,2008,23.42341
CHL,2006,10.11738
OMN,2005,2.02879
BEN,2004,6.79441
IRN,2008,5.27992
MDA,2014,16.17504
FIN,2009,20.32926
LKA,2001,33.75726
CHN,2017,8.6151
CRI,2017,5.57746
TON,2012,4.94763
CHN,2020,8.82397
CHE,2009,15.90666
MDA,2012,16.70908
ESP,2008,7.78349
SVK,2006,14.74574
URY,2020,22.76936
SYR,2000,1.03937
EGY,2014,0.97721
SYC,2011,7.44434
MNE,2010,13.88874
EGY,2015,0.96905
AGO,2011,6.95112
JAM,2008,2.64725
ATG,2021,1.45599
BEL,2003,21.44371
ZMB,2000,6.83814
PSE,2011,0.56972
SEAR,2020,10.33571
KWT,2020,2.19277
JAM,2013,1.03996
BTN,2000,5.70257
KEN,2017,5.68998
USA,2018,15.43839
LAO,2021,4.57814
ISL,2008,15.79153
IRN,2009,5.09509
ALB,2019,3.78342
VUT,2002,17.21848
TGO,2013,9.71723
BTN,2003,5.93237
SGP,2013,9.82747
FSM,2008,21.94841
GRD,2010,1.53784
NLD,2001,9.54865
ECU,2011,8.2468
SLE,2009,5.84951
COM,2015,6.3745
LSO,2013,24.13548
SRB,2017,16.25666
SVK,2003,15.17401
CPV,2018,14.45384
JPN,2006,24.09354
GRD,2012,1.87399
THA,2007,9.35422
KHM,2014,4.43712
CIV,2016,7.81853
PHL,2011,3.17376
AUT,2011,16.26019
GHA,2017,5.5282
MUS,2016,8.33394
WB_LMI,2016,9.71586
AZE,2010,2.7629
BTN,2016,5.24362
HUN,2016,18.81508
NER,2007,4.10093
IRN,2014,4.92606
SGP,2001,11.31307
CIV,2001,5.83787
PAN,2020,2.44702
LUX,2004,11.56676
WB_UMI,2020,7.72968
PSE,2017,0.66039
BHS,2006,3.34811
